TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
545543,2023-03-03,22656,Vintage Blue Kitchen Cabinet,660.62,1,13476.0,United Kingdom
545543,2023-03-03,22655,Vintage Red Kitchen Cabinet,594.5,1,13476.0,United Kingdom
C545532,2023-03-03,22827,Rustic Seventeen Drawer Sideboard,97.37,-1,15257.0,United Kingdom
545536,2023-03-03,22504,Cabin Bag Vintage Retrospot,40.95,1,12417.0,Belgium
545464,2023-03-03,22423,Regency Cakestand 3 Tier,35.83,1,13464.0,United Kingdom
545464,2023-03-03,85066,Cream Sweetheart Mini Chest,35.83,1,13464.0,United Kingdom
545568,2023-03-03,22423,Regency Cakestand 3 Tier,35.83,1,15568.0,United Kingdom
545464,2023-03-03,22501,Picnic Basket Wicker Large,31.56,1,13464.0,United Kingdom
545464,2023-03-03,72760B,Vintage Cream 3 Basket Cake Stand,31.56,1,13464.0,United Kingdom
545464,2023-03-03,22220,Cake Stand Lovebird 2 Tier White,30.71,1,13464.0,United Kingdom
545474,2023-03-03,22849,Bread Bin Diner Style Mint,27.62,2,16709.0,United Kingdom
545474,2023-03-03,22848,Bread Bin Diner Style Pink,27.62,2,16709.0,United Kingdom
545477,2023-03-03,22797,Chest Of Drawers Gingham Heart,27.62,1,14573.0,United Kingdom
545523,2023-03-03,22846,Bread Bin Diner Style Red,27.62,1,14524.0,United Kingdom
545571,2023-03-03,22797,Chest Of Drawers Gingham Heart,27.62,1,17700.0,United Kingdom
545577,2023-03-03,22846,Bread Bin Diner Style Red,27.62,1,14702.0,United Kingdom
545464,2023-03-03,22171,3 Hook Photo Shelf Antique White,27.3,1,13464.0,United Kingdom
545464,2023-03-03,82484,Wood Black Board Ant White Finish,27.3,1,13464.0,United Kingdom
545568,2023-03-03,21527,Red Retrospot Traditional Teapot,27.3,1,15568.0,United Kingdom
545568,2023-03-03,82484,Wood Black Board Ant White Finish,27.3,1,15568.0,United Kingdom
545464,2023-03-03,21523,Doormat Fancy Font Home Sweet Home,26.43,1,13464.0,United Kingdom
545464,2023-03-03,37370,Retro Coffee Mugs Assorted,26.43,1,13464.0,United Kingdom
545464,2023-03-03,48184,Doormat English Rose,26.43,1,13464.0,United Kingdom
545464,2023-03-03,48188,Doormat Welcome Puppies,26.43,1,13464.0,United Kingdom
545568,2023-03-03,21523,Doormat Fancy Font Home Sweet Home,26.43,1,15568.0,United Kingdom
545568,2023-03-03,21955,Doormat Union Jack Guns And Roses,26.43,1,15568.0,United Kingdom
545568,2023-03-03,48194,Doormat Hearts,26.43,1,15568.0,United Kingdom
545568,2023-03-03,20685,Doormat Red Retrospot,26.43,1,15568.0,United Kingdom
545461,2023-03-03,22414,Doormat Neighbourhood Witch,18.4,2,14388.0,United Kingdom
545461,2023-03-03,22328,Round Snack Boxes Set Of 4 Fruits,13.27,6,14388.0,United Kingdom
