TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
568065,2023-09-23,22827,Rustic Seventeen Drawer Sideboard,158.88,2,16240.0,United Kingdom
568134,2023-09-23,84078A,Set/4 White Retro Storage Cubes,70.0,1,12134.0,United Kingdom
568095,2023-09-23,23064,Cinderella Chandelier,61.45,2,14911.0,EIRE
568131,2023-09-23,23064,Cinderella Chandelier,61.45,1,16872.0,United Kingdom
568048,2023-09-23,22824,3 Tier Sweetheart Garden Shelf,47.1,1,14911.0,EIRE
568057,2023-09-23,22946,Wooden Advent Calendar Cream,44.37,1,12057.0,United Kingdom
568095,2023-09-23,84616,Silver Roccoco Chandelier,40.95,2,14911.0,EIRE
567981,2023-09-23,22423,Regency Cakestand 3 Tier,35.83,6,17981.0,United Kingdom
568057,2023-09-23,22165,Diamante Heart Shaped Wall Mirror,35.83,1,12057.0,United Kingdom
568057,2023-09-23,22282,12 Egg House Painted Wood,35.83,1,12057.0,United Kingdom
568057,2023-09-23,22424,Enamel Bread Bin Cream,35.83,2,12057.0,United Kingdom
568134,2023-09-23,22423,Regency Cakestand 3 Tier,35.83,3,12134.0,United Kingdom
568134,2023-09-23,22622,Box Of Vintage Alphabet Blocks,35.83,1,12134.0,United Kingdom
568134,2023-09-23,21340,Classic Metal Birdcage Plant Holder,35.83,1,12134.0,United Kingdom
568057,2023-09-23,21843,Red Retrospot Cake Stand,31.56,1,12057.0,United Kingdom
568057,2023-09-23,21217,Red Retrospot Round Cake Tins,31.56,1,12057.0,United Kingdom
568057,2023-09-23,22180,Retrospot Lamp,30.71,1,12057.0,United Kingdom
568134,2023-09-23,23173,Regency Teapot Roses,30.71,2,12134.0,United Kingdom
568135,2023-09-23,23173,Regency Teapot Roses,30.71,1,13135.0,United Kingdom
568135,2023-09-23,23317,Blue Refectory Clock,30.71,1,13135.0,United Kingdom
568095,2023-09-23,23007,Spaceboy Baby Gift Set,27.62,3,14911.0,EIRE
568095,2023-09-23,23008,Dolly Girl Baby Gift Set,27.62,3,14911.0,EIRE
568098,2023-09-23,22847,Bread Bin Diner Style Ivory,27.62,1,15762.0,United Kingdom
568098,2023-09-23,22846,Bread Bin Diner Style Red,27.62,1,15762.0,United Kingdom
568099,2023-09-23,22847,Bread Bin Diner Style Ivory,27.62,1,15916.0,United Kingdom
568134,2023-09-23,22946,Wooden Advent Calendar Cream,27.3,5,12134.0,United Kingdom
568134,2023-09-23,85048,15cm Christmas Glass Ball 20 Lights,27.3,1,12134.0,United Kingdom
568135,2023-09-23,82486,3 Drawer Antique White Wood Cabinet,27.3,1,13135.0,United Kingdom
568044,2023-09-23,22606,Wooden Skittles Garden Set,26.6,1,15763.0,United Kingdom
568135,2023-09-23,22660,Doormat I Love London,26.43,1,13135.0,United Kingdom
568134,2023-09-23,23112,Parisienne Curio Cabinet,25.58,1,12134.0,United Kingdom
568135,2023-09-23,23118,Parisienne Jewellery Drawer,25.58,1,13135.0,United Kingdom
568044,2023-09-23,22605,Wooden Croquet Garden Set,25.57,1,15763.0,United Kingdom
568047,2023-09-23,22839,3 Tier Cake Tin Green And Cream,25.57,1,15075.0,United Kingdom
568048,2023-09-23,22762,Cupboard 3 Drawer Ma Campagne,25.57,1,14911.0,EIRE
568060,2023-09-23,22762,Cupboard 3 Drawer Ma Campagne,25.57,1,14546.0,United Kingdom
568057,2023-09-23,48185,Doormat Fairy Cake,24.73,2,12057.0,United Kingdom
568057,2023-09-23,22468,Babushka Lights String Of 10,23.87,1,12057.0,United Kingdom
568134,2023-09-23,21906,Pharmacie First Aid Tin,23.87,1,12134.0,United Kingdom
568135,2023-09-23,21528,Dairy Maid Traditional Teapot,23.87,1,13135.0,United Kingdom
567981,2023-09-23,84997C,Childrens Cutlery Polkadot Blue,23.71,1,17981.0,United Kingdom
567981,2023-09-23,84997D,Childrens Cutlery Polkadot Pink,23.71,1,17981.0,United Kingdom
567954,2023-09-23,84968A,Set Of 16 Vintage Rose Cutlery,23.32,1,13004.0,United Kingdom
567973,2023-09-23,21340,Classic Metal Birdcage Plant Holder,23.32,1,13994.0,United Kingdom
568044,2023-09-23,22282,12 Egg House Painted Wood,23.32,2,15763.0,United Kingdom
568044,2023-09-23,22485,Set Of 2 Wooden Market Crates,23.32,2,15763.0,United Kingdom
568048,2023-09-23,85066,Cream Sweetheart Mini Chest,23.32,2,14911.0,EIRE
568048,2023-09-23,22423,Regency Cakestand 3 Tier,23.32,4,14911.0,EIRE
568059,2023-09-23,22423,Regency Cakestand 3 Tier,23.32,3,13097.0,United Kingdom
568104,2023-09-23,21340,Classic Metal Birdcage Plant Holder,23.32,2,16485.0,United Kingdom
568131,2023-09-23,21340,Classic Metal Birdcage Plant Holder,23.32,1,16872.0,United Kingdom
568047,2023-09-23,23314,Vintage Christmas Tablecloth,23.06,2,15075.0,United Kingdom
568048,2023-09-23,23427,Stool Home Sweet Home,23.06,2,14911.0,EIRE
568064,2023-09-23,23427,Stool Home Sweet Home,23.06,1,14880.0,United Kingdom
568069,2023-09-23,23020,Glass Songbird Storage Jar,23.06,1,13336.0,United Kingdom
568104,2023-09-23,23094,Le Grand Tray Chic Set,23.06,2,16485.0,United Kingdom
567981,2023-09-23,22112,Chocolate Hot Water Bottle,23.02,8,17981.0,United Kingdom
567981,2023-09-23,79321,Chilli Lights,23.02,2,17981.0,United Kingdom
568057,2023-09-23,21259,Victorian Sewing Box Small,23.02,1,12057.0,United Kingdom
568134,2023-09-23,21742,Large Round Wicker Platter,23.02,1,12134.0,United Kingdom
568134,2023-09-23,23110,Parisienne Key Cabinet,23.02,1,12134.0,United Kingdom
568135,2023-09-23,21755,Love Building Block Word,23.02,1,13135.0,United Kingdom
568135,2023-09-23,23108,Set Of 10 Led Dolly Lights,23.02,1,13135.0,United Kingdom
567968,2023-09-23,22622,Box Of Vintage Alphabet Blocks,22.5,2,12546.0,United Kingdom
568100,2023-09-23,22622,Box Of Vintage Alphabet Blocks,22.5,4,15475.0,United Kingdom
568134,2023-09-23,21756,Bath Building Block Word,22.17,1,12134.0,United Kingdom
567981,2023-09-23,23298,Spotty Bunting,21.31,14,17981.0,United Kingdom
567981,2023-09-23,47566,Party Bunting,21.31,17,17981.0,United Kingdom
568057,2023-09-23,22139,Retrospot Tea Set Ceramic 11 Pc,21.31,1,12057.0,United Kingdom
568057,2023-09-23,22507,Memo Board Retrospot Design,21.31,3,12057.0,United Kingdom
568057,2023-09-23,22721,Set Of 3 Cake Tins Sketchbook,21.31,1,12057.0,United Kingdom
568057,2023-09-23,23245,Set Of 3 Regency Cake Tins,21.31,1,12057.0,United Kingdom
568057,2023-09-23,23355,Hot Water Bottle Keep Calm,21.31,1,12057.0,United Kingdom
568057,2023-09-23,21216,Set 3 Retrospot Tea/Coffee/Sugar,21.31,1,12057.0,United Kingdom
568134,2023-09-23,22165,Diamante Heart Shaped Wall Mirror,21.31,3,12134.0,United Kingdom
568134,2023-09-23,22720,Set Of 3 Cake Tins Pantry Design,21.31,2,12134.0,United Kingdom
568134,2023-09-23,22835,Hot Water Bottle I Am So Poorly,21.31,1,12134.0,United Kingdom
568134,2023-09-23,23007,Spaceboy Baby Gift Set,21.31,1,12134.0,United Kingdom
568134,2023-09-23,23184,Bull Dog Bottle Opener,21.31,1,12134.0,United Kingdom
568134,2023-09-23,23243,Set Of Tea Coffee Sugar Tins Pantry,21.31,1,12134.0,United Kingdom
568134,2023-09-23,23245,Set Of 3 Regency Cake Tins,21.31,1,12134.0,United Kingdom
568134,2023-09-23,23355,Hot Water Bottle Keep Calm,21.31,1,12134.0,United Kingdom
568134,2023-09-23,23395,Belle Jardiniere Cushion Cover,21.31,2,12134.0,United Kingdom
568134,2023-09-23,23396,Le Jardin Botanique Cushion Cover,21.31,1,12134.0,United Kingdom
568134,2023-09-23,23424,Gingham Recipe Book Box,21.31,2,12134.0,United Kingdom
568134,2023-09-23,47590A,Blue Happy Birthday Bunting,21.31,1,12134.0,United Kingdom
568135,2023-09-23,22139,Retrospot Tea Set Ceramic 11 Pc,21.31,1,13135.0,United Kingdom
568135,2023-09-23,22720,Set Of 3 Cake Tins Pantry Design,21.31,1,13135.0,United Kingdom
568135,2023-09-23,23313,Vintage Christmas Bunting,21.31,5,13135.0,United Kingdom
568135,2023-09-23,23393,Home Sweet Home Cushion Cover,21.31,1,13135.0,United Kingdom
568135,2023-09-23,23424,Gingham Recipe Book Box,21.31,1,13135.0,United Kingdom
567951,2023-09-23,22734,Set Of 6 Ribbons Vintage Christmas,13.21,6,17069.0,United Kingdom
567954,2023-09-23,23399,Home Sweet Home Hanging Heart,11.12,12,13004.0,United Kingdom
567954,2023-09-23,23400,Shelf With 4 Hooks Home Sweet Home,16.66,2,13004.0,United Kingdom
567954,2023-09-23,23403,Letter Holder Home Sweet Home,14.09,4,13004.0,United Kingdom
567954,2023-09-23,23551,Pack Of 12 Paisley Park Tissues,10.65,24,13004.0,United Kingdom
567954,2023-09-23,23445,Ice Cream Bubbles,11.1,20,13004.0,United Kingdom
567954,2023-09-23,21992,Vintage Paisley Stationery Set,11.53,12,13004.0,United Kingdom
567954,2023-09-23,22115,Metal Sign Empire Tea,11.06,12,13004.0,United Kingdom
567954,2023-09-23,23187,French Style Storage Jar Bonbons,10.55,48,13004.0,United Kingdom
567954,2023-09-23,23186,French Style Storage Jar Cafe,10.55,48,13004.0,United Kingdom
567954,2023-09-23,85071B,Red Charlie+Lola Personal Doorsign,10.65,24,13004.0,United Kingdom
567954,2023-09-23,23035,Drawer Knob Ceramic Ivory,11.74,6,13004.0,United Kingdom
567954,2023-09-23,23033,Drawer Knob Ceramic Red,11.74,12,13004.0,United Kingdom
567954,2023-09-23,21544,Skulls Water Transfer Tattoos,11.12,12,13004.0,United Kingdom
567954,2023-09-23,82581,Toilet Metal Sign,10.81,12,13004.0,United Kingdom
567954,2023-09-23,82583,Hot Baths Metal Sign,12.4,12,13004.0,United Kingdom
567954,2023-09-23,82578,Kitchen Metal Sign,10.81,12,13004.0,United Kingdom
567954,2023-09-23,82567,Airline Lounge Metal Sign,12.4,6,13004.0,United Kingdom
567954,2023-09-23,21509,Cowboys And Indians Birthday Card,10.68,12,13004.0,United Kingdom
567954,2023-09-23,22027,Tea Party Birthday Card,10.68,12,13004.0,United Kingdom
567954,2023-09-23,21508,Vintage Kid Dolly Card,10.68,12,13004.0,United Kingdom
567954,2023-09-23,22037,Robot Birthday Card,10.68,12,13004.0,United Kingdom
567954,2023-09-23,22029,Spaceboy Birthday Card,10.68,12,13004.0,United Kingdom
567954,2023-09-23,22712,Card Dolly Girl,10.68,12,13004.0,United Kingdom
567954,2023-09-23,22814,Card Party Games,10.68,12,13004.0,United Kingdom
567954,2023-09-23,22706,Wrap Cowboys,10.68,25,13004.0,United Kingdom
567954,2023-09-23,23295,Set Of 12 Mini Loaf Baking Cases,11.1,8,13004.0,United Kingdom
567954,2023-09-23,23203,Jumbo Bag Vintage Doily,6.19,10,13004.0,United Kingdom
567954,2023-09-23,23202,Jumbo Bag Vintage Leaf,6.19,10,13004.0,United Kingdom
567954,2023-09-23,23344,Jumbo Bag 50'S Christmas,6.19,10,13004.0,United Kingdom
567957,2023-09-23,23012,Glass Apothecary Bottle Perfume,14.3,4,16136.0,United Kingdom
567957,2023-09-23,23014,Glass Apothecary Bottle Elixir,14.3,4,16136.0,United Kingdom
567957,2023-09-23,23013,Glass Apothecary Bottle Tonic,14.3,4,16136.0,United Kingdom
567957,2023-09-23,23169,Classic Glass Cookie Jar,14.5,6,16136.0,United Kingdom
567957,2023-09-23,22602,Retrospot Wooden Heart Decoration,11.12,24,16136.0,United Kingdom
567957,2023-09-23,23326,Hanging Mini Coloured Bottles,10.9,48,16136.0,United Kingdom
567957,2023-09-23,22600,Christmas Retrospot Star Wood,11.12,24,16136.0,United Kingdom
567958,2023-09-23,22813,Pack 3 Boxes Bird Panettone,11.94,96,12619.0,Germany
567958,2023-09-23,22812,Pack 3 Boxes Christmas Panettone,11.94,96,12619.0,Germany
567958,2023-09-23,21817,Glitter Christmas Tree,10.65,36,12619.0,Germany
567958,2023-09-23,21014,Swiss Chalet Tree Decoration,10.55,24,12619.0,Germany
567958,2023-09-23,35954,Small Folkart Star Christmas Dec,10.44,48,12619.0,Germany
567958,2023-09-23,23290,Spaceboy Childrens Bowl,11.53,8,12619.0,Germany
567958,2023-09-23,23292,Spaceboy Childrens Cup,11.53,8,12619.0,Germany
567958,2023-09-23,21974,Set Of 36 Paisley Flower Doilies,11.74,12,12619.0,Germany
567958,2023-09-23,21212,Pack Of 72 Retrospot Cake Cases,10.81,24,12619.0,Germany
567958,2023-09-23,23307,Set Of 60 Pantry Design Cake Cases,10.81,24,12619.0,Germany
567958,2023-09-23,23309,Set Of 60 I Love London Cake Cases,10.81,24,12619.0,Germany
567958,2023-09-23,23308,Set Of 60 Vintage Leaf Cake Cases,10.81,24,12619.0,Germany
567959,2023-09-23,22945,Christmas Metal Tags Assorted,10.99,144,12516.0,Germany
567959,2023-09-23,22952,60 Cake Cases Vintage Christmas,10.81,48,12516.0,Germany
567959,2023-09-23,44242B,Pink Feathers Curtain,11.06,12,12516.0,Germany
567959,2023-09-23,85032D,Yuletide Images Gift Wrap Set,10.92,12,12516.0,Germany
567959,2023-09-23,20724,Red Retrospot Charlotte Bag,11.12,50,12516.0,Germany
567959,2023-09-23,20719,Woodland Charlotte Bag,11.12,40,12516.0,Germany
567959,2023-09-23,23205,Charlotte Bag Vintage Alphabet,11.12,20,12516.0,Germany
567959,2023-09-23,22411,Jumbo Shopper Vintage Red Paisley,12.38,20,12516.0,Germany
567959,2023-09-23,23343,Jumbo Bag Vintage Christmas,6.19,50,12516.0,Germany
567959,2023-09-23,85099B,Jumbo Bag Red Retrospot,6.19,50,12516.0,Germany
567959,2023-09-23,85099F,Jumbo Bag Strawberry,6.19,50,12516.0,Germany
567959,2023-09-23,20712,Jumbo Bag Woodland Animals,6.19,30,12516.0,Germany
567960,2023-09-23,22147,Feltcraft Butterfly Hearts,11.53,12,13777.0,United Kingdom
567960,2023-09-23,85123A,Cream Hanging Heart T-Light Holder,12.86,64,13777.0,United Kingdom
567960,2023-09-23,22095,Lads Only Tissue Box,11.53,12,13777.0,United Kingdom
567960,2023-09-23,85038,6 Chocolate Love Heart T-Lights,12.15,6,13777.0,United Kingdom
567960,2023-09-23,21107,Cream Slice Flannel Pink Spot,12.86,12,13777.0,United Kingdom
567960,2023-09-23,85099B,Jumbo Bag Red Retrospot,6.04,10,13777.0,United Kingdom
567960,2023-09-23,20725,Lunch Bag Red Retrospot,5.87,20,13777.0,United Kingdom
567962,2023-09-23,22646,Ceramic Strawberry Cake Money Bank,11.53,72,15838.0,United Kingdom
567962,2023-09-23,21231,Sweetheart Ceramic Trinket Box,11.34,72,15838.0,United Kingdom
567962,2023-09-23,22866,Hand Warmer Scotty Dog Design,12.4,48,15838.0,United Kingdom
567962,2023-09-23,22865,Hand Warmer Owl Design,12.15,96,15838.0,United Kingdom
567962,2023-09-23,22632,Hand Warmer Red Retrospot,12.15,96,15838.0,United Kingdom
567962,2023-09-23,22633,Hand Warmer Union Jack,12.15,96,15838.0,United Kingdom
567962,2023-09-23,22149,Feltcraft 6 Flower Friends,12.15,80,15838.0,United Kingdom
567962,2023-09-23,22759,Set Of 3 Notebooks In Parcel,11.74,96,15838.0,United Kingdom
567962,2023-09-23,21428,Set3 Book Box Green Gingham Flower,14.09,32,15838.0,United Kingdom
567962,2023-09-23,22379,Recycling Bag Retrospot,12.15,200,15838.0,United Kingdom
567962,2023-09-23,22381,Toy Tidy Pink Polkadot,12.15,100,15838.0,United Kingdom
567962,2023-09-23,82482,Wooden Picture Frame White Finish,12.4,72,15838.0,United Kingdom
567962,2023-09-23,22637,Piggy Bank Retrospot,12.4,48,15838.0,United Kingdom
567962,2023-09-23,21156,Retrospot Childrens Apron,11.94,60,15838.0,United Kingdom
567962,2023-09-23,22386,Jumbo Bag Pink Polkadot,6.04,200,15838.0,United Kingdom
567962,2023-09-23,85099B,Jumbo Bag Red Retrospot,6.04,200,15838.0,United Kingdom
567962,2023-09-23,85099F,Jumbo Bag Strawberry,6.04,200,15838.0,United Kingdom
567966,2023-09-23,22139,Retrospot Tea Set Ceramic 11 Pc,15.32,3,16782.0,United Kingdom
567966,2023-09-23,23322,Large White Heart Of Wicker,13.27,6,16782.0,United Kingdom
567966,2023-09-23,23330,Decorative Wicker Heart Medium,11.53,12,16782.0,United Kingdom
567966,2023-09-23,23391,I Love London Mini Backpack,14.5,4,16782.0,United Kingdom
567966,2023-09-23,23400,Shelf With 4 Hooks Home Sweet Home,16.66,2,16782.0,United Kingdom
