TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
566184,2023-09-09,22827,Rustic Seventeen Drawer Sideboard,179.37,1,16723.0,United Kingdom
566194,2023-09-09,22826,Love Seat Antique White Metal,97.37,1,14711.0,United Kingdom
566221,2023-09-09,21627,Elephant Carnival Pouffe,40.15,2,15221.0,United Kingdom
566164,2023-09-09,22423,Regency Cakestand 3 Tier,35.83,3,15164.0,United Kingdom
566221,2023-09-09,23111,Parisienne Sewing Box,35.83,1,15221.0,United Kingdom
566221,2023-09-09,72760B,Vintage Cream 3 Basket Cake Stand,31.56,1,15221.0,United Kingdom
566221,2023-09-09,22776,Sweetheart 3 Tier Cake Stand,30.71,1,15221.0,United Kingdom
566221,2023-09-09,23173,Regency Teapot Roses,30.71,1,15221.0,United Kingdom
566221,2023-09-09,21623,Vintage Union Jack Memoboard,30.71,1,15221.0,United Kingdom
566190,2023-09-09,22946,Wooden Advent Calendar Cream,27.62,1,12748.0,United Kingdom
566164,2023-09-09,22624,Ivory Kitchen Scales,27.3,1,15164.0,United Kingdom
566221,2023-09-09,23081,Green Metal Box Army Supplies,27.3,1,15221.0,United Kingdom
566221,2023-09-09,23341,Pink Diner Wall Clock,27.3,1,15221.0,United Kingdom
566221,2023-09-09,22692,Doormat Welcome To Our Home,26.43,2,15221.0,United Kingdom
566221,2023-09-09,23118,Parisienne Jewellery Drawer,25.58,1,15221.0,United Kingdom
566195,2023-09-09,22847,Bread Bin Diner Style Ivory,25.57,4,12433.0,Norway
566195,2023-09-09,22848,Bread Bin Diner Style Pink,25.57,4,12433.0,Norway
566085,2023-09-09,22485,Set Of 2 Wooden Market Crates,23.32,1,17841.0,United Kingdom
566094,2023-09-09,21258,Victorian Sewing Box Large,23.32,1,17965.0,United Kingdom
566123,2023-09-09,22424,Enamel Bread Bin Cream,23.32,1,15039.0,United Kingdom
566123,2023-09-09,22423,Regency Cakestand 3 Tier,23.32,2,15039.0,United Kingdom
566191,2023-09-09,22423,Regency Cakestand 3 Tier,23.32,2,14388.0,United Kingdom
566193,2023-09-09,22282,12 Egg House Painted Wood,23.32,2,14961.0,United Kingdom
566193,2023-09-09,22423,Regency Cakestand 3 Tier,23.32,1,14961.0,United Kingdom
566196,2023-09-09,85066,Cream Sweetheart Mini Chest,23.32,2,14180.0,United Kingdom
566196,2023-09-09,22424,Enamel Bread Bin Cream,23.32,6,14180.0,United Kingdom
566198,2023-09-09,85066,Cream Sweetheart Mini Chest,23.32,4,18109.0,United Kingdom
566213,2023-09-09,21340,Classic Metal Birdcage Plant Holder,23.32,1,14895.0,United Kingdom
566213,2023-09-09,22424,Enamel Bread Bin Cream,23.32,2,14895.0,United Kingdom
566214,2023-09-09,21258,Victorian Sewing Box Large,23.32,4,14895.0,United Kingdom
566224,2023-09-09,84968A,Set Of 16 Vintage Rose Cutlery,23.32,1,14224.0,United Kingdom
C566165,2023-09-09,22423,Regency Cakestand 3 Tier,23.32,-1,14911.0,EIRE
C566167,2023-09-09,22423,Regency Cakestand 3 Tier,23.32,-3,17865.0,United Kingdom
C566197,2023-09-09,85066,Cream Sweetheart Mini Chest,23.32,-1,18109.0,United Kingdom
566082,2023-09-09,23020,Glass Songbird Storage Jar,23.06,1,16293.0,United Kingdom
566186,2023-09-09,23065,Large Deco Jewellery Stand,23.06,1,16603.0,United Kingdom
566188,2023-09-09,23427,Stool Home Sweet Home,23.06,1,14312.0,United Kingdom
566195,2023-09-09,23073,Georgian Trinket Box,23.06,2,12433.0,Norway
566213,2023-09-09,23111,Parisienne Sewing Box,23.06,2,14895.0,United Kingdom
566220,2023-09-09,23314,Vintage Christmas Tablecloth,23.06,6,15251.0,United Kingdom
566164,2023-09-09,22112,Chocolate Hot Water Bottle,23.02,6,15164.0,United Kingdom
566164,2023-09-09,79321,Chilli Lights,23.02,1,15164.0,United Kingdom
566217,2023-09-09,15056N,Edwardian Parasol Natural,23.02,1,14096.0,United Kingdom
566221,2023-09-09,23400,Shelf With 4 Hooks Home Sweet Home,23.02,1,15221.0,United Kingdom
566221,2023-09-09,85014A,Black/Blue Polkadot Umbrella,23.02,1,15221.0,United Kingdom
566220,2023-09-09,22622,Box Of Vintage Alphabet Blocks,22.5,6,15251.0,United Kingdom
566193,2023-09-09,21843,Red Retrospot Cake Stand,21.47,1,14961.0,United Kingdom
566074,2023-09-09,22624,Ivory Kitchen Scales,18.96,2,12535.0,France
