TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
568408,2023-09-27,22423,Regency Cakestand 3 Tier,35.83,6,17408.0,United Kingdom
568411,2023-09-27,22424,Enamel Bread Bin Cream,35.83,2,14411.0,United Kingdom
568567,2023-09-27,22423,Regency Cakestand 3 Tier,35.83,1,16567.0,United Kingdom
568411,2023-09-27,21217,Red Retrospot Round Cake Tins,31.56,2,14411.0,United Kingdom
568411,2023-09-27,22776,Sweetheart 3 Tier Cake Stand,30.71,2,14411.0,United Kingdom
568491,2023-09-27,22847,Bread Bin Diner Style Ivory,27.62,1,15443.0,United Kingdom
568539,2023-09-27,22847,Bread Bin Diner Style Ivory,27.62,2,13016.0,United Kingdom
568411,2023-09-27,22844,Vintage Cream Dog Food Container,27.3,2,14411.0,United Kingdom
568411,2023-09-27,20749,Assorted Colour Mini Cases,27.3,1,14411.0,United Kingdom
568411,2023-09-27,21523,Doormat Fancy Font Home Sweet Home,27.3,1,14411.0,United Kingdom
568567,2023-09-27,22752,Set 7 Babushka Nesting Boxes,27.3,1,16567.0,United Kingdom
568567,2023-09-27,22946,Wooden Advent Calendar Cream,27.3,3,16567.0,United Kingdom
568411,2023-09-27,21257,Victorian Sewing Box Medium,26.43,2,14411.0,United Kingdom
568411,2023-09-27,23118,Parisienne Jewellery Drawer,25.58,1,14411.0,United Kingdom
568567,2023-09-27,23112,Parisienne Curio Cabinet,25.58,1,16567.0,United Kingdom
568411,2023-09-27,22689,Doormat Merry Christmas Red,24.73,1,14411.0,United Kingdom
568411,2023-09-27,48185,Doormat Fairy Cake,24.73,1,14411.0,United Kingdom
568411,2023-09-27,22179,Set 10 Night Owl Lights,23.87,1,14411.0,United Kingdom
568567,2023-09-27,21906,Pharmacie First Aid Tin,23.87,1,16567.0,United Kingdom
568394,2023-09-27,21340,Classic Metal Birdcage Plant Holder,23.32,1,13314.0,United Kingdom
568413,2023-09-27,21340,Classic Metal Birdcage Plant Holder,23.32,1,14818.0,United Kingdom
568493,2023-09-27,85066,Cream Sweetheart Mini Chest,23.32,2,12987.0,United Kingdom
568556,2023-09-27,21340,Classic Metal Birdcage Plant Holder,23.32,1,15827.0,United Kingdom
C568418,2023-09-27,22282,12 Egg House Painted Wood,23.32,-1,15763.0,United Kingdom
C568418,2023-09-27,22485,Set Of 2 Wooden Market Crates,23.32,-2,15763.0,United Kingdom
568392,2023-09-27,23427,Stool Home Sweet Home,23.06,1,14272.0,United Kingdom
568414,2023-09-27,23065,Large Deco Jewellery Stand,23.06,6,14901.0,United Kingdom
568493,2023-09-27,23427,Stool Home Sweet Home,23.06,1,12987.0,United Kingdom
